university,program,rating,period_of_study,Start_of_studies,Diploma,language,Total_costs,location,program_link
FAU Erlangen-Nuremberg,Art Education (MA),,4 semesters,Winter semester,Master of Arts,German,,"Erlangen, Nuremberg",https://www.studycheck.de/studium/kunst-und-kulturvermittlung/uni-erlangen-19755
FAU Erlangen-Nuremberg,"Latin (State Examination)
                                                            Teaching",3.9,9 semesters,Winter semester,State examination,German,,Erlangen,https://www.studycheck.de/studium/latein/uni-erlangen-23418
FAU Erlangen-Nuremberg,Latin Philology (BA),4.0,6 semesters,Winter semester,Bachelor of Arts,German,,Erlangen,https://www.studycheck.de/studium/latinistik/uni-erlangen-14525
FAU Erlangen-Nuremberg,Learning Design – Digital Transformation in Education (MA),,4 semesters,Winter semester,Master of Arts,German,,Nuremberg,https://www.studycheck.de/studium/bildungswissenschaften/uni-erlangen-31866
FAU Erlangen-Nuremberg,Lebensmittelchemie (Staatsexamen),3.9,,,,,,,https://www.studycheck.de/studium/lebensmittelchemie/uni-erlangen-23103
FAU Erlangen-Nuremberg,Life Science Engineering (B.Sc.),3.7,6 semesters,Winter semester,Bachelor of Science,German,,Erlangen,https://www.studycheck.de/studium/lebenswissenschaft/uni-erlangen-4028
FAU Erlangen-Nuremberg,Life Science Engineering (M.Sc.),4.1,4 semesters,Summer & winter semester,Master of Science,German,,Erlangen,https://www.studycheck.de/studium/lebenswissenschaft/uni-erlangen-1405
FAU Erlangen-Nuremberg,Linguistics (MA),,4 semesters,Summer & winter semester,Master of Arts,German,,Erlangen,https://www.studycheck.de/studium/linguistik/uni-erlangen-9239
FAU Erlangen-Nuremberg,Literature and Books (BA),3.7,6 semesters,Winter semester,Bachelor of Arts,German,,Erlangen,https://www.studycheck.de/studium/literatur-und-medien/uni-erlangen-19756
FAU Erlangen-Nuremberg,Literary Studies - media and transcultural (MA),4.0,4 semesters,Winter semester,Master of Arts,German,,Erlangen,https://www.studycheck.de/studium/literaturwissenschaft/uni-erlangen-9276
FAU Erlangen-Nuremberg,Speech Therapy (B.Sc.),4.1,7 semesters,Winter semester,Bachelor of Science,German,,Erlangen,https://www.studycheck.de/studium/logopaedie/uni-erlangen-2391
FAU Erlangen-Nuremberg,Management (M.Sc.),3.6,4 semesters,Winter semester,Master of Science,German,,Nuremberg,https://www.studycheck.de/studium/management/uni-erlangen-8305
FAU Erlangen-Nuremberg,Marketing (M.Sc.),3.9,4 semesters,Winter semester,Master of Science,German,,Nuremberg,https://www.studycheck.de/studium/marketing/uni-erlangen-8304
FAU Erlangen-Nuremberg,Marketing and Customer Insights (Economics) (BA),3.3,,,,,,,https://www.studycheck.de/studium/wirtschaftswissenschaft/uni-erlangen-30498
FAU Erlangen-Nuremberg,Marketing and Sales Management (MVM) (M.Sc.),4.1,4 semesters,Winter semester,Master of Science,German,"16,980 €¹",Nuremberg,https://www.studycheck.de/studium/marketing-management/uni-erlangen-19757
FAU Erlangen-Nuremberg,Mechanical Engineering (B.Sc.),3.7,6 semesters,Winter semester,Bachelor of Science,German,,Erlangen,https://www.studycheck.de/studium/maschinenbau/uni-erlangen-12708
FAU Erlangen-Nuremberg,Mechanical Engineering (M.Sc.),4.0,4 semesters,Summer & winter semester,Master of Science,German,,Erlangen,https://www.studycheck.de/studium/maschinenbau/uni-erlangen-16603
FAU Erlangen-Nuremberg,Materials Science and Engineering (M.Sc.),4.2,4 semesters,Summer & winter semester,Master of Science,English,,Erlangen,https://www.studycheck.de/studium/materialwissenschaft/uni-erlangen-30565
FAU Erlangen-Nuremberg,Materials Science and Engineering (B.Sc.),4.3,,,,,,,https://www.studycheck.de/studium/materialwissenschaft/uni-erlangen-4347
FAU Erlangen-Nuremberg,Mathematics (B.Sc.),4.1,6 semesters,Winter semester,Bachelor of Science,German,,Erlangen,https://www.studycheck.de/studium/mathematik/uni-erlangen-14827
FAU Erlangen-Nuremberg,Mathematics (M.Sc.),,4 semesters,Summer & winter semester,Master of Science,German,,Erlangen,https://www.studycheck.de/studium/mathematik/uni-erlangen-9312
FAU Erlangen-Nuremberg,"Mathematics (State Examination)
                                                            Teaching",3.4,7 semesters,Summer & winter semester,State examination,German,,Nuremberg,https://www.studycheck.de/studium/mathematik/uni-erlangen-21056
FAU Erlangen-Nuremberg,Mechatronics (B.Sc.),4.1,6 semesters,Winter semester,Bachelor of Science,German,,Erlangen,https://www.studycheck.de/studium/mechatronik/uni-erlangen-14835
FAU Erlangen-Nuremberg,Mechatronics (M.Sc.),4.1,4 semesters,Summer & winter semester,Master of Science,German,,Erlangen,https://www.studycheck.de/studium/mechatronik/uni-erlangen-9320
FAU Erlangen-Nuremberg,Medical Process Management (M.Sc.),3.7,4 semesters,Winter semester,Master of Science,German English,,Erlangen,https://www.studycheck.de/studium/medical-process-management/uni-erlangen-7564
FAU Erlangen-Nuremberg,"Media, Ethics, Religion (MA)",2.7,4 semesters,Winter semester,Master of Arts,German,,Erlangen,https://www.studycheck.de/studium/medien-ethik-und-religion/uni-erlangen-7722
FAU Erlangen-Nuremberg,"Media education (teaching extension) (state examination)
                                                            Teaching",,3 semesters,Summer & winter semester,State examination,German,,Nuremberg,https://www.studycheck.de/studium/medienpaedagogik/uni-erlangen-26954
FAU Erlangen-Nuremberg,Media Studies (MA),3.5,4 semesters,Winter semester,Master of Arts,German,,Erlangen,https://www.studycheck.de/studium/medienwissenschaften/uni-erlangen-26948
FAU Erlangen-Nuremberg,Medicine (State Examination),3.8,12 Semester,Summer & winter semester,State examination,German,,Erlangen,https://www.studycheck.de/studium/medizin/uni-erlangen-14323
FAU Erlangen-Nuremberg,Medical Engineering (B.Sc.),3.9,6 semesters,Winter semester,Bachelor of Science,German,,Erlangen,https://www.studycheck.de/studium/medizintechnik/uni-erlangen-4842
FAU Erlangen-Nuremberg,Medical Engineering (M.Sc.),4.3,4 semesters,Summer & winter semester,Master of Science,German,,Erlangen,https://www.studycheck.de/studium/medizintechnik/uni-erlangen-10723
FAU Erlangen-Nuremberg,Mittelalter und Frühe Neuzeit (M.A.),,,,,,,,https://www.studycheck.de/studium/mittelalter-und-fruehe-neuzeit/uni-erlangen-9281
FAU Erlangen-Nuremberg,Middle Latin and Neo-Latin (BA),4.0,6 semesters,Winter semester,Bachelor of Arts,German,,Erlangen,https://www.studycheck.de/studium/latein/uni-erlangen-14526
FAU Erlangen-Nuremberg,Molecular Medicine (M.Sc.),3.6,4 semesters,Winter semester,Master of Science,English,,Erlangen,https://www.studycheck.de/studium/molekulare-medizin/uni-erlangen-9309
FAU Erlangen-Nuremberg,Molecular Science (B.Sc.),3.9,6 semesters,Winter semester,Bachelor of Science,German,,Erlangen,https://www.studycheck.de/studium/molekularwissenschaften/uni-erlangen-12591
FAU Erlangen-Nuremberg,Molecular Science (M.Sc.),3.7,4 semesters,Summer & winter semester,Master of Science,English,,Erlangen,https://www.studycheck.de/studium/molekularwissenschaften/uni-erlangen-11160
FAU Erlangen-Nuremberg,Molecular Medicine (B.Sc.),3.7,6 semesters,Winter semester,Bachelor of Science,German,,Erlangen,https://www.studycheck.de/studium/molekulare-medizin/uni-erlangen-14824
FAU Erlangen-Nuremberg,"Music (State Examination)
                                                            Teaching",4.6,,Winter semester,State examination,German,,Nuremberg,https://www.studycheck.de/studium/musik/uni-erlangen-23420
FAU Erlangen-Nuremberg,Sustainability (Economics) (BA),,,,,,,,https://www.studycheck.de/studium/wirtschaftswissenschaft/uni-erlangen-30497
FAU Erlangen-Nuremberg,Middle Eastern Studies (MA),,4 semesters,Summer & winter semester,Master of Arts,German,,Erlangen,https://www.studycheck.de/studium/nahoststudien/uni-erlangen-9283
FAU Erlangen-Nuremberg,Nanotechnology (B.Sc.),3.8,,,,,,,https://www.studycheck.de/studium/nanotechnologie/uni-erlangen-4266
FAU Erlangen-Nuremberg,Nanotechnology (M.Sc.),3.9,4 semesters,Summer & winter semester,Master of Science,English,,Erlangen,https://www.studycheck.de/studium/nanotechnologie/uni-erlangen-30566
FAU Erlangen-Nuremberg,North American Studies: Culture and Literature (MA),3.1,4 semesters,Winter semester,Master of Arts,English,,Erlangen,https://www.studycheck.de/studium/amerikanistik-american-studies/uni-erlangen-9284
FAU Erlangen-Nuremberg,Public Law (BA),3.8,6 semesters,Winter semester,Bachelor of Arts,German,,Erlangen,https://www.studycheck.de/studium/oeffentliches-recht/uni-erlangen-18648
FAU Erlangen-Nuremberg,Economics (BA),3.3,6 semesters,Winter semester,Bachelor of Arts,German,,Erlangen,https://www.studycheck.de/studium/oekonomie/uni-erlangen-3858
FAU Erlangen-Nuremberg,Organisational and personnel development (MA),,4 semesters,Winter semester,Master of Arts,German,"11,000 €¹",Erlangen,https://www.studycheck.de/studium/organisations-und-personalentwicklung/uni-erlangen-6136
FAU Erlangen-Nuremberg,Oriental Studies (BA),4.0,6 semesters,Winter semester,Bachelor of Arts,German,,Erlangen,https://www.studycheck.de/studium/orientwissenschaft/uni-erlangen-3859
FAU Erlangen-Nuremberg,Pedagogy (BA),3.7,6 semesters,Winter semester,Bachelor of Arts,German,,Erlangen,https://www.studycheck.de/studium/paedagogik/uni-erlangen-14528
FAU Erlangen-Nuremberg,Pedagogy (MA),3.4,4 semesters,Winter semester,Master of Arts,German,,Erlangen,https://www.studycheck.de/studium/paedagogik/uni-erlangen-9285
FAU Erlangen-Nuremberg,Pharmacy (State Examination),3.8,8 semesters,Winter semester,State examination,German,,Erlangen,https://www.studycheck.de/studium/pharmazie/uni-erlangen-14588
FAU Erlangen-Nuremberg,Philosophy (BA),3.7,6 semesters,Winter semester,Bachelor of Arts,German,,Erlangen,https://www.studycheck.de/studium/philosophie/uni-erlangen-3861
FAU Erlangen-Nuremberg,Philosophy (MA),3.3,4 semesters,Summer & winter semester,Master of Arts,German,,Erlangen,https://www.studycheck.de/studium/philosophie/uni-erlangen-685
FAU Erlangen-Nuremberg,"Philosophy/Ethics (Teaching Extension) (State Examination)
                                                            Teaching",3.9,2 semesters,Summer & winter semester,State examination,German,,Erlangen,https://www.studycheck.de/studium/philosophie/uni-erlangen-23423
FAU Erlangen-Nuremberg,Physical Activity and Health (MA),,4 semesters,Winter semester,Master of Arts,English,,Erlangen,https://www.studycheck.de/studium/physical-activity-and-health/uni-erlangen-7462
FAU Erlangen-Nuremberg,Physical Geography: Climate and Environmental Sciences (M.Sc.),4.3,4 semesters,Summer & winter semester,Master of Science,English,,Erlangen,https://www.studycheck.de/studium/umweltwissenschaften/uni-erlangen-23351
FAU Erlangen-Nuremberg,Physics (M.Sc.),4.0,4 semesters,Summer & winter semester,Master of Science,English,,Erlangen,https://www.studycheck.de/studium/physik/uni-erlangen-9321
FAU Erlangen-Nuremberg,Physics (B.Sc.),4.1,6 semesters,Winter semester,Bachelor of Science,German,,Erlangen,https://www.studycheck.de/studium/physik/uni-erlangen-14828
FAU Erlangen-Nuremberg,"Physik (Staatsexamen)
                                                            Lehramt",,,,,,,,https://www.studycheck.de/studium/physik/uni-erlangen-23426
FAU Erlangen-Nuremberg,"Politics and Society (State Examination)
                                                            Teaching",3.2,7 Semester,Winter semester,State examination,German,,Nuremberg,https://www.studycheck.de/studium/sozialkunde/uni-erlangen-23428
FAU Erlangen-Nuremberg,Political Science (BA),3.5,6 semesters,Winter semester,Bachelor of Arts,German,,Erlangen,https://www.studycheck.de/studium/politikwissenschaft/uni-erlangen-14529
FAU Erlangen-Nuremberg,Political Science (MA),3.1,4 semesters,Summer & winter semester,Master of Arts,German,,Erlangen,https://www.studycheck.de/studium/politikwissenschaft/uni-erlangen-9286
FAU Erlangen-Nuremberg,Psychology (B.Sc.),3.9,6 semesters,Winter semester,Bachelor of Science,German,,Erlangen,https://www.studycheck.de/studium/psychologie/uni-erlangen-14825
FAU Erlangen-Nuremberg,Psychology (M.Sc.),3.8,4 semesters,Summer & winter semester,Master of Science,German,,Erlangen,https://www.studycheck.de/studium/psychologie/uni-erlangen-9287
FAU Erlangen-Nuremberg,Psychology with a focus on clinical psychology and psychotherapy (M.Sc.),2.6,4 semesters,Summer & winter semester,Master of Science,German,,Erlangen,https://www.studycheck.de/studium/klinische-psychologie/uni-erlangen-30572
FAU Erlangen-Nuremberg,Law and Computer Science (LL.M.),4.6,2 semesters,Winter semester,Master of Laws,German,,Erlangen,https://www.studycheck.de/studium/rechtswissenschaft/uni-erlangen-31868
FAU Erlangen-Nuremberg,Law (LL.M.),4.0,2 semesters,Summer & winter semester,Master of Laws,German,,Erlangen,https://www.studycheck.de/studium/rechtswissenschaft/uni-erlangen-6855
FAU Erlangen-Nuremberg,Law (State Examination),3.7,10 semesters,Summer & winter semester,State examination,German,,Erlangen,https://www.studycheck.de/studium/rechtswissenschaft/uni-erlangen-12053
FAU Erlangen-Nuremberg,Written Media Culture and Digital Transformation (MA),,4 semesters,Winter semester,Master of Arts,German,,Nuremberg,https://www.studycheck.de/studium/digitale-medienkultur/uni-erlangen-31149
FAU Erlangen-Nuremberg,Sinology (BA),4.3,6 semesters,Winter semester,Bachelor of Arts,German,,Erlangen,https://www.studycheck.de/studium/sinologie/uni-erlangen-3862
FAU Erlangen-Nuremberg,Scandinavian Studies (BA),4.1,6 semesters,Winter semester,Bachelor of Arts,German,,Erlangen,https://www.studycheck.de/studium/skandinavistik/uni-erlangen-14527
FAU Erlangen-Nuremberg,Socioeconomics (BA),3.7,,,,,,,https://www.studycheck.de/studium/sozialoekonomie/uni-erlangen-3462
FAU Erlangen-Nuremberg,Socioeconomics (M.Sc.),3.8,4 semesters,Winter semester,Master of Science,German,,Nuremberg,https://www.studycheck.de/studium/sozialoekonomie/uni-erlangen-8307
FAU Erlangen-Nuremberg,Sociology (BA),3.5,6 semesters,Winter semester,Bachelor of Arts,German,,Erlangen,https://www.studycheck.de/studium/soziologie/uni-erlangen-14530
FAU Erlangen-Nuremberg,Sociology (MA),3.7,4 semesters,Summer & winter semester,Master of Arts,German,,Erlangen,https://www.studycheck.de/studium/soziologie/uni-erlangen-9291
FAU Erlangen-Nuremberg,"Spanish (State Examination)
                                                            Teaching",3.7,9 semesters,Winter semester,State examination,"German, Spanish",,Erlangen,https://www.studycheck.de/studium/spanisch/uni-erlangen-23429
FAU Erlangen-Nuremberg,"Sports (State Examination)
                                                            Teaching",4.1,,Winter semester,State examination,German,,"Erlangen, Nuremberg",https://www.studycheck.de/studium/sport/uni-erlangen-23430
FAU Erlangen-Nuremberg,Standards of Decision-Making Across Cultures (MA),,4 semesters,Winter semester,Master of Arts,English,,Erlangen,https://www.studycheck.de/studium/kulturwissenschaft/uni-erlangen-23433
FAU Erlangen-Nuremberg,Taxes (Economics) (BA),3.3,,,,,,,https://www.studycheck.de/studium/wirtschaftswissenschaft/uni-erlangen-30492
